word_list,alternative_list
Beamtenlaufbahn,Laufbahn im öffentlichen Dienst mit Aussicht auf Verbeamtung
Bearbeiter,den Vorgang betreuende Person
Bearbeiter,zuständige Person
Beauftragter,beauftragte Person
Bediener,bedienende Person
Bediener einer technischen Anlage,eine technische Anlage bedienende Person
Befragter,befragte Person
Befragter,"Person, die befragt wurde"
Befürworter,Unterstützung
Befürworter,Zustimmende
Behinderter,Mensch mit Behinderung
Beisitzer,Beisitzende
Bekannter,Person aus dem Bekanntenkreis
Bekannter,bekannte Person
Bekannter,Bekanntschaft
bemannt,besetzt
bemannt,mit Personen besetzt
bemannt,astronautisch
bemannte Raumfahrt,Raumfahrt mit Besatzung
bemannte Raumfahrt,astronautische Raumfahrt
bemuttern,fürsorglich sein
bemuttern,verhätscheln
bemuttern,umsorgen
Benutzer,Anwendende
Benutzer,Nutzende
benutzerfreundlich,praktisch zu bedienen
benutzerfreundlich,leicht zu bedienen
benutzerfreundlich,bedienungsfreundlich
benutzerfreundlich,benutzungsfreundlich
Benutzername,Anmeldename
Benutzername,Nickname
Benutzername,Pseudonym
Benutzeroberfläche,Bedienoberfläche
Benutzeroberfläche,Benutzungsoberfläche
Benutzerordnung,Nutzungsordnung
Beobachter,Beobachtende
Berater,beratende Person
Berater,die Beratung erfolgt durch
Berater,Sie werden beraten von
Beratertätigkeit,beratende Tätigkeit
Beratertätigkeit,Beratung
Berichterstatter,Bericht erstattende Person
Berichterstatter,Berichtende
Berliner,die Berliner Bevölkerung
Berufsanfänger,Berufsunerfahrene
Beschäftigter,Arbeitskraft
Beschuldigter,beschuldigte Person
Besitzer,besitzhabende Person
Besitzer von Immobilieneigentum,Immobilien besitzende Person
Besucher,Gäste
Besucher,Publikum
Besucher,Besuche
Besuchergruppe,Besuchsgruppe
Betrachter,Betrachtende
Betreiber,Betriebsgesellschaft
Betreiber,betreibende Firma
Betreuer,Betreuungsperson
Betriebsrat,Mitglied des Betriebsrates
Betriebsräte,Mitglieder des Betriebsrates
Betriebsräte,Mitarbeitendenvertretung
Betriebsräte,der Personalrat
Betroffener,betroffene Person
Betroffener,Opfer
Bewerber,sich bewerbende Person
Bewerber,Bewerbende
Bewerber,sich bewerbende Personen
Bewerberzahlen,Bewerbungszahlen
Bewohner,in Lebende
Bewohner,in lebende Menschen
Bewohner,Ortsansässige
Blogger,bloggende Personen
Blogger,"Personen, die einen Blog schreiben"
Briefträger,Briefzustellung
Briefträger,Postzustellung
Brüderlichkeit,Mitmenschlichkeit
Brüderlichkeit,Solidarität
Buhmann,Sündenbock
Buhmann,Feindbild
Bundespräsidentenwahl,Bundespräsidentschaftswahl
Bundespräsidentenwahl,BP-Wahl
Bürger,Mitglied des Staates
Bürger,Mitglied der Stadt
Bürger,dem Staat zugehörige Person
Bürger,Mitmensch
Bürger,Bevölkerung
Bürger,Einwohnerschaft
Bürger,Wahlberechtigte
Bürger,Staatsangehörige
Bürger,Einheimische
Bürger,im Ort Wohnende
Bürger,in der Stadt Wohnende
Bürgermeister,Stadtoberhaupt
Bürgerrechte,Rechte des deutschen Staatsvolkes
Bürgersteig,Gehweg
Bürgersteig,Fußweg
Bürgerzentrum,Kulturzentrum
Bürgerzentrum,Stadtteilzentrum
Bürgerzentrum,selbstverwaltetes Zentrum
Busfahrer,Busführung
Busfahrer,busführende Person
Chef,vorgesetzte Person
Chef,Leitungsperson
Chef,Leitung
Chefs,Vorgesetzte
Chefs,Leitung
Chefsache,Sache mit oberster Priorität
Chefsache,Angelegenheit mit besonderer Wichtigkeit
Chefsache,dringliche Sache
Chemiker,Fachkraft für Chemie
Chirurgenstahl,Chirurgiestahl
Christen,Menschen christlichen Glaubens
Coach,Begleitung
Coach,Beratung
Damenprogramm,Begleitprogramm
Darsteller,darstellende Person
Darsteller,Rollen
Darsteller,Besetzung
Darsteller,Darstellende
Dekan,Leitung des Dekanats
Dekan,Dekanat
Demonstranten,Demonstrierende
Designer,Designschaffende
Deutscher,Person aus Deutschland
Deutscher,deutsche Person
Deutscher,Person mit deutscher Staatsangehörigkeit
Dienstherrengenehmigung,Vorgesetztengenehmigung
Dienstleister,dienstleistende Person
Dienstleister,dienstleistendes Unternehmen
Diplomingenieur,diplomierte technische Fachkraft
Direktor,Leitung
Dirigent,unter dem Dirigat von
Dirigent,unter Leitung vons
Doktoranden,Promovierende
Doktorandenkolleg,Promotionskolleg
Doktorandenkolleg,Promovierendenkolleg
Dolmetscher,dolmetschende Fachkraft
Dönermann,Dönerbude
Dönermann,Kebapverkauf
Dozent,lehrende Person
Dozent,Lehrkraft
Dozent,Lehrperson
Dozent,vortragende Person
Dozenten,Dozierende
Dozenten,Lehrpersonal
Dozenten,Lehrende
Dozententätigkeit,Lehrtätigkeit
Ehegatten,Eheleute
Ehepartner,geehelichte Person
Ehrenamtler,Ehrenamtliche
Ehrenamtler,Freiwillige
Ehrenamtler,Engagierte
Ehrenmann,Ehrenperson
Eigentümer,Eigentum von
Immobilieneigentümer,Eigentumspartei
Hauseigentümer,Eigentumspartei
Immobilieneigentümer,Vermietende
Hauseigentümer,Vermietende
Ein-Mann-Betrieb,Ein-Personen-Betrieb
einer nach dem anderen,der Reihe nach
Einsteigerkurs,Einstiegskurs
Einsteigerkurs,Grundlagenkurs
Einsteigerkurs,Grundkurs
Einsteigerkurs,Basiskurs
Einwanderer,Menschen mit Migrationshintergrund
Einwanderer,Menschen mit Migrationsgeschichte
Einwanderer,Menschen mit Migrationsbiografie
Einwohner,die Menschen der Stadt
Einwohner,Population
Einwohner,Bevölkerung
Einwohnerdichte,Bevölkerungsdichte
Empfänger,empfangsberechtigte Person
Empfänger,empfangen von
Empfänger,bestimmt für
Enkel,Enkelkind
Entdecker,entdeckt von
Entdecker,entdeckt von
Entdecker,entdeckende Personen /Kinder
Entdecker,Forschende
Entdecker,Entdeckende
Entscheidungsträger,Person mit Entscheidungsbefugnis
Entwickler,Entwickelnde
Entwickler,Erfindende
Erben,Erbberechtigte
Ermittler,Ermittelnde
Ermittler,Ermittlungsteam
Erstsemester,Studierende im ersten Semester
Erzähler,erzählende Figur
Erzähler,erzählende Person
Erzähler,Erzählende
Erzieher,pädagogische Fachkraft
Erzieher,Erziehungskraft
Experte,Fachgröße
Experte,Autorität
Experte,Koryphäe
Experte,Person vom Fach
Experten,Fachkräfte
Experten,Fachleute
Experten,Fachkundige
Experten,Sachverständige
Expertengruppe,Fachgruppe
Expertentagung,Fachtagung
Expertenwissen,Fachwissen
Expertenwissen,Expertise
Facharzt,ärztliche Fachkraft
Fachmann,Fachkraft
Rat eines Fachmannes,fachkundiger Rat
Rat eines Fachmannes,fachlicher Rat
fachmännisch,fachkundig
Fachwissenschaftler,Fachforschende
Fahrer,Fahrdienst
Fahrer,Fahrzeugführende
Fahrer,Fahrende
Fahrerkabine,Fahrkabine
Fahrerkabine,Steuerungskabine
Fahrgast,mitreisende Person
Fahrgast,gegen Entgelt transportierte Person
Fahrgäste,Mitfahrende
Fahrgäste,Reisende
Fahrgastraum,Abteil
Fahrgastraum,Personenbeförderungsräume
Fahrradfahrer,Fahrrad fahrende
Fahrradfahrer,wer mit dem Fahrrad unterwegs ist
Fahrzeughalter,eine ein Fahrzeug besitzende Person
Familienhelfer,Familienhilfe
Familienhelfer,Familien unterstützende Kraft
Familienhelfer,im familienunterstützenden Dienst arbeitende Person
Familienhelfer,im familienunterstützenden Dienst angestellte Person
Fan,in besonderem Maße begeisterte Person
Fans,Begeisterte
Basketballfans,Basketballbegeisterte
Favorit,favorisierte Person
Favorit,favorisierte Option
Feind,verfeindete Person
Feuerwehrmänner,Einsatzkräfte der Feuerwehr
Feuerwehrmänner,Feuerwehrangehörige
Feuerwehrmänner,Feuerwehr
Feuerwehrmänner,Feuerwehrleute
Filmemacher,filmschaffende Person
Filmemacher,Filmschaffende
Filmstar,Filmgröße
Filmstar,Filmberühmtheit
Finanzintermediäre,Anbietende von Finanzintermediation
Finanzintermediäre,Finanzintermediierende
Flüchtlinge,Geflüchtete
Flüchtlinge,Flüchtende
Flüchtlinge,geflüchtete Menschen
Förderer,"Stelle, die Fördermittel vergibt"
Förderer,unterstützender Personenkreis
Fördermittelgeber,"Stelle, die Fördermittel vergibt"
Fördermittelgeber,fördermittelgebende Stelle
Forscher,Forschende
Forscher,Universitätsmitglieder
Forscher,wissenschaftliches Personal der Universität
Forscher,"Menschen, die in der Forschung tätig sind"
Forscher,Forschungsteam
Forschergemeinde,Forschungsgemeinde
Forscherkolloquium,Forschungskolloquium
Forscherteam,Forschungsteam
Fotograf,fotografierende Person
Fotograf,Fotografie betreibende Person
Fotografen,Fotografierende
Fotografen,Aufnehmende
Freund,Bezugsperson
Freund,Herzensmensch
Freund,Bekanntschaft
Freunde,Bekannte
Freunde,Bezugspersonen
Friseure,Frisierende
Führerschein,Fahrerlaubnis
Führerschein,Fahrberechtigung
Funktionär,in Funktion gewählte Person
Funktionär,verantwortliche Person
Funktionär,beauftragte Person
Funktionär,bevollmächtigte Person
Funktionsträger,in Funktion gewählte Person
Funktionsträger,verantwortliche Person
Funktionsträger,beauftragte Person
Funktionsträger,bevollmächtigte Person
Fußballspieler,Fußballspielende
